ID_Devolucao,ID_Funcionario,ID_Emprestimo,ID_Usuario,ID_Estoque,ID_Obra,Data_Devolucao,Hora_Devolucao,Multa_Atraso
13,8,9,19,10,5,2022-03-29,08:36:00,0
5,8,8,30,18,16,2021-08-21,10:00:00,0
16,1,14,4,4,1,2022-04-03,10:00:00,0
4,8,4,29,30,20,2021-08-20,12:01:00,0
2,8,3,13,11,3,2021-07-13,13:00:00,0
7,1,12,8,3,25,2021-08-21,13:00:00,0
11,8,2,20,14,14,2021-09-28,14:29:00,0
3,1,1,1,21,14,2021-08-17,14:55:00,0
6,1,10,3,27,8,2021-08-21,14:55:00,0
8,8,6,21,5,24,2021-08-22,14:55:00,0
19,11,24,17,9,12,2022-12-30,16:00:00,0
14,8,11,12,22,27,2022-03-31,16:30:00,0
1,1,5,2,1,14,2021-06-11,18:00:00,0
10,1,17,8,15,22,2021-08-22,18:00:00,0
17,8,21,18,19,25,2022-12-30,18:00:00,0
20,11,27,16,8,27,2023-02-02,18:00:00,0
9,1,16,22,13,13,2021-08-26,10:00:00,1
15,1,13,11,29,8,2022-04-08,11:11:00,1
18,8,23,9,25,11,2023-01-12,15:00:00,1
12,1,7,14,7,27,2022-03-30,17:54:00,1
