ID_Emprestimo,ID_Funcionario,ID_Usuario,ID_Estoque,ID_Obra,Data_Emprestimo,Hora_Emprestimo,Data_Entrega
1,1,1,21,10,2021-08-15,08:00:00,2021-08-17
2,8,20,14,14,2021-09-26,08:00:00,2021-09-28
3,8,13,11,18,2021-07-11,10:00:00,2021-07-13
4,8,29,30,17,2021-08-18,18:10:00,2021-08-20
5,1,2,1,23,2021-06-09,08:00:00,2021-06-11
6,8,21,5,24,2021-08-20,08:00:00,2021-08-22
7,1,14,7,21,2022-03-25,08:00:00,2022-03-27
8,8,30,18,6,2021-08-19,13:00:00,2021-08-21
9,8,19,10,30,2022-03-27,13:00:00,2022-03-29
10,1,3,27,9,2021-08-19,09:54:00,2021-08-21
11,8,12,22,11,2022-03-29,13:00:00,2022-03-31
12,1,8,3,25,2021-08-19,09:54:00,2021-08-21
13,1,11,29,16,2022-03-31,14:55:00,2022-04-02
14,1,4,4,1,2022-04-01,12:01:00,2022-04-03
15,8,11,23,26,2023-06-25,14:29:00,2023-06-27
16,1,22,13,13,2021-08-20,10:00:00,2021-08-22
17,1,8,15,19,2021-08-20,14:55:00,2021-08-22
18,11,10,16,4,2023-07-07,16:30:00,2023-07-09
19,8,12,24,27,2023-07-07,11:11:00,2023-07-09
20,11,5,2,2,2023-06-25,17:54:00,2023-06-27
21,8,18,19,20,2022-12-28,10:00:00,2022-12-30
22,8,15,20,22,2023-06-25,08:36:00,2023-06-27
23,8,9,25,7,2022-12-28,14:55:00,2022-12-30
24,11,17,9,12,2022-12-28,13:00:00,2022-12-30
25,8,6,17,5,2023-07-07,10:00:00,2023-07-09
26,8,23,26,8,2023-07-07,18:10:00,2023-07-09
27,11,16,8,27,2023-01-31,14:55:00,2023-02-02
28,11,7,12,29,2023-01-31,10:00:00,2023-02-02
29,11,24,6,3,2023-01-31,18:10:00,2023-02-02
